rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_command,scan_type_init,scan_type_spont,nro_alertas
CHIMBOTENVA_N,567108,0,426442,15572961,28,0,567056,0
INDEPE_N,1190493,0,893098,79603955,13,0,1190480,0
LA_BREA,698328,0,524460,20069110,3,0,698301,0
ABANCAY,1736254,0,1303236,48172746,3,0,1736227,0
REQUE,2414777,0,1811976,75818064,3,0,2414750,0
CHAVARRIA_N,753335,0,566034,21663649,3,0,753308,0
AMARILIS,80954,0,61200,10069377,3,0,80927,0
PUCALLPA_N,169001,0,127608,33032964,3,0,168974,0
AGUAYTIA_N,138406,0,104682,25524701,3,0,138379,0
PARAGSHA2_N,508942,0,382494,23305588,3,0,508915,0
COMBAPATA_N,4126626,0,3095850,136923930,3,0,4126599,0
PARAMONGA_N,2560341,0,1922062,72891509,31,0,2560286,0
CHICLAYO_N,2324987,0,1744690,85291889,3,0,2324959,0
TRUJILLO_N,2888757,0,2168270,93968504,5,0,2888728,0
POROMA,833804,0,626736,23206421,3,0,833777,0
COTARUSE_N,1637769,0,1229076,52854745,3,0,1637742,0
ORCOTUNA,1098087,1,823954,91004072,3,1,1098060,0
MONTALVO,369210,0,277638,10218946,3,0,369183,0
PAPUJUNE,52445,0,17214,3238538,3,0,52418,0
SOCABAYA_REP_N,1277226,0,958832,40835600,11,0,1277191,0
PIEDRAS BLAN,162154,102,811835,3487797,3,0,0,0
SOCABAYA,171322,0,886946,994234,4,0,0,0
SANTUARIO,132329,8,692188,8920069,3,18,0,3
CVERDE,142087,14,710580,5278145,3,0,0,0
POMACO,222342,63,1112450,7650763,7,8,0,0
TOQUEPALA,12436,3043,114620,498120,3,95,0,12
CALLALLI,50347,92,258274,3289750,3,74,0,17
TOCACHE_N,962527,0,723168,26389849,3,0,962500,0
TINTAYA_N,585800,0,440214,17841752,3,0,585773,0
AZANGARO,138491,70,693400,1837954,11,30,0,7
AYAVIRI,40482,30,202960,4174415,4,4,0,2
MANTARO_N,4157867,0,3119304,132237168,3,3,4157837,0
SANROS_N,1664209,0,1249150,48134441,4,0,1664181,0
MOLLENDO,91183,96,457495,156088,3,0,0,0
MOQUEGUA,55966,1187,303880,871257,3,2,0,0
REPARTICION,79813,13,459732,5512036,3,0,0,0
TINGOMARIA,138088,56,691095,5362919,11,2,0,0
CALLAHUANCA,192230,286,963955,5505384,3,0,0,0
PACHACHACA,149971,147,750990,2769066,3,96,0,15
ZAPALLAL,236027,781,1184320,2467006,6,0,0,0
CHILCA1,209881,31,1049770,7034445,8,0,0,0
HUACHO,114806,182,576115,6683929,3,0,0,0
VENTANILLA,202925,227,1017150,6525520,12,0,0,0
COLCABAMBA,2454810,0,1842168,79453133,3,3,2454780,0
SURIRAY,1207103,0,906156,33769207,3,0,1207076,0
SANNICOLAS,80301,24835,525785,1609503,3,0,0,0
SOCABAYA_N,1983604,0,1488744,62887714,3,0,1983577,0
PARIÑAS,2650832,0,1988990,120054943,5,0,2650803,0
TRUJILLNUEV,143943,1417,736420,11275142,11,0,0,0
TINGOMARIA_N,471807,0,354512,17479427,3,0,471781,0
OROYA_N,1102223,0,827232,30371992,3,0,1102196,0
HUANUCO,232660,59,1166705,3768774,4,8,0,0
HUAYUCACHI,274762,12,1374065,1732898,7,0,0,0
QUENCORO_N,1960744,0,1472322,54630447,3,0,1960717,0
OLLEROS,219779,554,1103930,2639803,3,0,0,0
LANINA_N,2308519,0,1733466,67905256,15,0,2308480,0
YARABAMBA,4141326,0,3107178,212449042,3,0,4141299,0
PARAGSHA2,88698,168,445245,1914359,3,0,0,0
AUCAYACU_N,495414,0,372216,18746340,3,0,495387,0
HUANCAVEL_N,2071870,0,1554924,57517496,5,0,2071840,0
CHAVARRIA,189744,1034,1190894,2692012,3,0,0,0
PUNO_N,361417,0,272232,11853516,3,0,361390,0
JULIACA_N,158303,0,119620,5967596,7,0,158272,0
MARCONA,5733893,0,4301608,210615756,7,0,5733862,0
CARABAYLLO,253802,286,1272660,8119856,38,0,0,0
GUADALUPE_N,1485171,0,1114974,41479369,9,0,1485138,0
PARAGSHA_NVA,189547,436,952475,9288310,5,0,0,0
HUANUCO_N,1431009,0,1074478,39011515,7,0,1430978,0
CARHUAMAYO,181658,153,910080,8432707,3,3,0,0
PIURA2_N,3647519,0,2739602,106742010,164,0,3647331,0
CHIMBOTE1_N,166036,0,125228,9980102,5,0,166007,0
VIZCARRA,54651,19,273495,2948730,3,0,0,0
TINGOM_ETS_N,369700,0,278310,27006264,5,1,369670,0
PLANICIE,200745,421,1007495,6578242,4,120,0,16
DESIERTO,144925,179,725575,4648838,3,0,0,0
MOQUEGUA_N,90974,0,68670,4378219,3,0,90947,0
SANJUAN_N,869366,1,653994,24058619,7,6,869330,0
ICA,156088,469,786750,11386961,16,381,0,4
ZORRITOS_N,976139,0,734186,27184456,23,0,976092,0
MOLLEPATA,2198620,0,1649952,62915932,3,0,2198593,0
TALARA N,200380,0,151240,5448860,7,0,200349,0
CARAPONGO,661817,0,496900,28738983,12,1,661780,0
INDUSTRIALES,262975,0,197808,7492121,3,0,262948,0
CHIMBOTENVA_N,704173,0,528976,19369225,10,0,704139,0
