rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,tipo_evento
SOCABAYA_N,1543323,25,1161382,56785001,0,4,147,2
CHICLAYO_N,1519291,1,1140626,52626368,0,3,6,1
GUADALUPE_N,1514786,0,1137396,42328280,0,11,1,1
QUENCORO_N,1509042,3,1133928,43771461,0,11,19,1
GUADALUPE_N,1497917,0,1124738,41775790,0,7,1,1
GUADALUPE_N,1497915,0,1124882,41759313,0,7,1,1
GUADALUPE_N,1487814,0,1117332,41513763,0,7,2,1
SANROS_N,1487768,3,1116906,43143301,0,4,7,1
GUADALUPE_N,1485848,0,1115686,41534022,0,18,1,1
GUADALUPE_N,1483559,0,1113964,41565429,0,3,1,1
GUADALUPE_N,1483290,0,1113980,41326961,0,13,1,1
OROYA_N,1482825,0,1112698,41413684,0,3,1,1
REQUE,1481855,0,1112450,45274620,0,3,5,1
GUADALUPE_N,1471392,0,1105070,41033557,0,19,1,1
GUADALUPE_N,1465908,4,1100620,40959059,0,20,7,1
GUADALUPE_N,1452587,0,1090822,40638693,0,9,1,1
GUADALUPE_N,1448272,0,1087426,40375084,0,9,1,1
HUANUCO_N,1445767,0,1085506,39370305,0,3,1,1
HUANUCO_N,1442652,0,1083256,39252063,0,6,1,1
GUADALUPE_N,1432821,0,1076252,40143695,0,13,1,1
HUANUCO_N,1429198,0,1073104,38918922,0,6,1,1
HUANUCO_N,1426953,0,1071480,38932096,0,5,1,1
GUADALUPE_N,1419387,0,1065824,39587476,0,7,1,1
HUANUCO_N,1413862,0,1061632,38644488,0,6,1,1
SOCABAYA_REP_N,1410789,1,1059160,46249575,0,3,13,1
HUANUCO_N,1404194,2,1054444,38333646,0,8,1,1
REQUE,1396615,0,1048710,42911203,0,2,16,1
HUANUCO_N,1396046,0,1048442,38003530,0,9,1,1
GUADALUPE_N,1393988,4,1047868,38891005,0,20,24,1
GUADALUPE_N,1390192,0,1043810,38949140,0,19,1,1
HUANUCO_N,1390183,0,1043890,37778352,0,6,1,1
HUANUCO_N,1387533,0,1041886,37756183,0,6,1,1
HUANUCO_N,1386838,0,1041398,37686679,0,6,2,1
HUANUCO_N,1386573,5,1041450,37707293,0,22,1,1
HUANUCO_N,1384408,0,1039486,37661126,0,3,1,1
GUADALUPE_N,1384237,5,1040058,38573849,0,36,1,1
HUANUCO_N,1381360,0,1037242,37644403,0,6,1,1
HUANUCO_N,1375368,0,1032774,37351260,0,5,1,1
CHICLAYO_N,1370035,0,1028566,46607818,0,3,1,1
HUANUCO_N,1369443,0,1028356,37386757,0,4,3,1
REQUE,1358976,0,1020148,40861789,0,3,1,1
CHICLAYO_N,1355038,9,1019800,46616769,0,165,13,1
HUANUCO_N,1352107,0,1015288,36828620,0,3,1,1
HUANUCO_N,1350436,0,1014022,36698593,0,3,1,1
HUANUCO_N,1348287,0,1012384,36610938,0,3,1,1
HUANCAVEL_N,1348229,0,1012176,37102930,0,5,1,1
HUANUCO_N,1345370,0,1010196,36532452,0,2,1,1
CHICLAYO_N,1343946,0,1009064,45423220,0,10,1,1
REQUE,1342078,0,1007832,40797058,0,3,12,1
HUANUCO_N,1328509,0,997618,36105438,0,6,1,1
INDEPE_N,1326086,1,994972,91961102,0,25,1,1
INDEPE_N,1324930,0,994170,93753137,0,23,4,1
GUADALUPE_N,1324392,0,994638,36941014,0,8,1,1
HUANUCO_N,1323361,0,993814,35945931,0,9,1,1
GUADALUPE_N,1316297,1,990134,37217594,0,121,4,1
HUANCAVEL_N,1315068,0,987296,36168823,0,4,1,1
HUANUCO_N,1314634,0,987212,35727266,0,4,1,1
REQUE,1310480,0,983742,39218625,0,2,1,1
REQUE,1307921,6,983064,39596982,0,3,42,1
HUANUCO_N,1293581,0,971388,35268224,0,5,1,1
CHICLAYO_N,1293066,4,972200,44742754,0,57,37,1
INDEPE_N,1289019,1,967702,87906167,0,51,5,1
GUADALUPE_N,1275241,0,958046,35922389,0,8,15,1
GUADALUPE_N,1273840,0,956662,35352151,0,7,3,1
COLCABAMBA,1273632,4,957962,42805077,0,5,84,1
GUADALUPE_N,1270653,1,954314,35418864,0,4,7,1
OROYA_N,1265957,0,950050,35189613,0,3,1,1
INDEPE_N,1257286,0,943614,84689626,0,35,1,1
INDEPE_N,1246461,1,935236,88695063,0,16,4,1
GUADALUPE_N,1234219,0,927234,34174888,0,13,2,1
SOCABAYA_REP_N,1230756,0,923972,37064248,0,8,3,1
SANROS_N,1224025,3,918956,35685102,0,4,9,1
SURIRAY,1216178,0,912976,33919271,0,3,1,1
SURIRAY,1215049,0,912280,33940269,0,3,1,1
SURIRAY,1208660,0,907366,33795040,0,3,1,1
SURIRAY,1205465,0,905218,33776829,0,3,1,1
SURIRAY,1204589,0,904420,33784009,0,3,1,1
SURIRAY,1201668,0,901952,33700061,0,2,1,1
SURIRAY,1201591,0,902170,33681378,0,3,1,1
SURIRAY,1200341,0,900970,33710364,0,3,1,1
POROMA,1195857,0,898342,33067291,0,3,1,1
SURIRAY,1193702,0,896278,33623723,0,3,1,1
SURIRAY,1193700,0,896156,33623951,0,3,2,1
SURIRAY,1193697,0,896074,33624410,0,3,1,1
SURIRAY,1187261,0,891316,33548360,0,3,1,1
SURIRAY,1186806,0,890990,33476492,0,3,1,1
OROYA_N,1185566,0,889750,32574843,0,3,1,1
SURIRAY,1184532,0,889330,33470016,0,3,1,1
INDEPE_N,1178404,8,885934,61560409,0,68,52,1
ORCOTUNA,1177659,0,883678,83996606,0,3,1,1
COLCABAMBA,1168794,24,878288,41493327,0,6,62,1
ORCOTUNA,1156176,0,867562,92342505,0,3,1,1
INDEPE_N,1155027,1,867582,71820655,0,27,37,1
ORCOTUNA,1154240,0,866092,84519870,0,3,1,1
ORCOTUNA,1145829,0,859804,91166358,0,3,1,1
ORCOTUNA,1141026,0,856210,91038879,0,3,1,1
ORCOTUNA,1140428,0,855772,84416643,0,3,1,1
ORCOTUNA,1136417,0,852876,88479489,0,3,9,1
ORCOTUNA,1134474,0,851300,91183231,0,3,2,1
ZORRITOS_N,1132341,1,852258,31879266,0,18,15,2
ORCOTUNA,1130765,0,848472,90310968,0,2,1,1
ORCOTUNA,1128983,1,847142,82235058,0,3,5,1
ORCOTUNA,1128437,0,846682,90841542,0,3,1,1
INDEPE_N,1127804,0,846386,78044181,0,31,1,1
ORCOTUNA,1127068,0,845722,91487942,0,3,1,1
ORCOTUNA,1126025,0,844948,90359220,0,3,1,1
ORCOTUNA,1125518,0,844570,91663136,0,3,1,1
ORCOTUNA,1121218,1,841342,89721624,0,6,2,1
ORCOTUNA,1118749,0,839486,90199011,0,3,2,1
ORCOTUNA,1118561,0,839300,91610195,0,3,5,1
ORCOTUNA,1116435,0,837760,91131306,0,3,1,1
