01/16/21 18:20:28 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:28   02071127 LA_BREA 220                       T122-261 IN-2998                 CAMBIO DE ESTADO                          ABIERTO        1

01/16/21 18:20:29 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:29   03011F85 AZANGARO 22.9                     B1 TENSION                       RETORNO A LIMITE INFERIOR 1                   22.3       4

01/16/21 18:20:42 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:42   03061529 ICA 10                            T112-261 TENSION V-ST            RETORNO A NORMAL                              10.6       4

01/16/21 18:20:44 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:44   03061529 ICA 10                            T112-261 TENSION V-ST            LIMITE SUPERIOR 1 EXCEDIDO                    10.6       4

01/16/21 18:20:51 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:51   03061529 ICA 10                            T112-261 TENSION V-ST            RETORNO A NORMAL                              10.6       4

01/16/21 18:20:52 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:20:52   03061529 ICA 10                            T112-261 TENSION V-ST            LIMITE SUPERIOR 1 EXCEDIDO                    10.6       4

01/16/21 18:20:54 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:54   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          RETORNO A NORMAL                              10.2       4

01/16/21 18:20:54 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:20:54   03042049 HUANCAVEL 10                      T9-261 PL3 TENSION V-ST          RETORNO A NORMAL                              10.2       4

