id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_periodic,scan_type_idle,scan_type_command,scan_type_init,scan_type_spont,enviados,fallidos,alarmas,duracion_int,tipo_evento
44253TRUJILLNUEV,143636,1406,734300,11590059,0,145033,9,0,0,2,2,1,310,2
44253LANINA_N,2611472,0,1960340,77314928,24,0,5,0,2611443,2,2,1,4,2
44253PARAGSHA_NVA,181424,356,910920,8899128,0,181774,3,3,0,2,2,3,70,2
44253PIURA2_N,4015449,0,3013604,118120224,24,0,20,0,4015405,45,40,1,4,1
44253ICA,169216,85,847855,11550205,0,169277,24,0,0,15,15,1,8,2
44253CHIMBOTENVA_N,742664,0,557900,20465762,24,0,11,0,742629,4,2,1,4,2
44253INDEPE_N,819746,0,614910,34720333,0,0,3,0,819743,25,4,33,15049,2
44253PARAMONGA_N,2379873,0,1786784,67739218,24,0,34,1,2379814,17,5,1,4,1
44253SOCABAYA_REP_N,0,0,0,0,0,0,0,0,0,16,9,0,0,2
44254TOCACHE_N,892238,7,670902,24491549,24,0,3,12,892206,2,1,6,3325,1
44254SOCABAYA_N,1945327,0,1460050,63266524,24,0,3,1,1945299,4,4,0,0,2
44254TRUJILLNUEV,144741,1346,739195,11493978,0,146079,5,3,0,7,7,1,6,2
44254OLLEROS,203410,511,1021670,2292078,0,203916,3,2,0,9,6,4,70,1
44254LANINA_N,2603965,0,1954830,77161621,24,0,5,1,2603935,6,6,0,0,2
44254YARABAMBA,4118428,0,3090046,213023602,24,0,3,1,4118400,2,2,0,0,2
44254MARCONA,5583903,0,4189030,213941638,24,0,3,1,5583875,11,2,0,0,2
44254PARAGSHA_NVA,184999,359,929000,9001839,0,185342,7,9,0,2,2,6,200,2
44254PIURA2_N,4039367,0,3031954,119396485,24,0,48,1,4039294,30,26,0,0,2
44254ICA,166596,75,833940,12005776,0,166651,18,2,0,11,11,1,282,2
44254CARAPONGO,682891,0,512702,31069697,24,0,9,2,682856,7,6,2,244,2
44254CHIMBOTENVA_N,718302,0,539618,19769297,24,0,7,1,718270,8,6,0,0,2
44254INDEPE_N,828254,0,621366,35282489,0,0,3,3,828248,18,1,0,0,2
44254AGUAYTIA_N,455085,0,342166,94475271,24,0,3,1,455057,1,1,0,0,2
44254PARAMONGA_N,2371143,0,1780350,67652303,24,0,41,1,2371077,16,10,1,2,1
44254TRUJILLO_N,3149721,0,2364116,103268356,24,0,4,1,3149692,10,5,3,101,2
44255CHILCA1,208047,76,1041095,7139749,0,208116,7,0,0,13,5,1,14,2
44255HUACHO,117063,179,587375,6605552,0,117239,3,0,0,41,11,8,66,1
44255TRUJILLNUEV,146039,1357,746650,11347712,0,147378,16,2,0,7,3,1,26,2
44255YARABAMBA,4159680,2,3121014,213577764,24,0,5,1,4159652,5,5,0,0,2
44255AUCAYACU_N,492451,0,370032,18432325,24,0,3,0,492424,1,1,0,0,2
44255MARCONA,5663566,1,4249034,211552427,24,0,23,0,5663520,13,8,0,0,2
44255GUADALUPE_N,1473830,0,1106698,41085237,24,0,19,0,1473787,8,2,0,0,2
44255PARAGSHA_NVA,190075,358,954300,9198433,0,190411,9,13,0,5,5,4,94,2
44255PIURA2_N,4055551,0,3043956,119955079,24,0,33,0,4055494,26,15,0,0,2
44255SANJUAN_N,996127,0,748676,27512571,24,0,5,0,996098,97,3,0,0,2
44255CARAPONGO,662185,0,497196,31038953,24,0,10,2,662149,12,2,3,249,2
44255CHIMBOTENVA_N,724337,4,544262,19945744,24,0,21,0,724296,26,6,2,207,2
44255PARAMONGA_N,2351319,1,1765424,67223166,24,0,34,1,2351261,5,3,0,0,2
44255TRUJILLO_N,2989964,11,2245380,97322441,24,0,35,11,2989905,8,4,1,43,1
44255SOCABAYA_REP_N,49796,0,16582,1555570,24,0,5,14,49753,21,3,0,0,2
44256HUACHO,114528,326,577375,6625444,0,114721,116,17,0,2,1,27,3527,1
44256TRUJILLNUEV,140052,1432,717755,12046190,0,141472,10,2,0,3,3,0,0,2
44256LANINA_N,2574227,0,1932492,76231219,24,0,5,1,2574197,2,2,0,0,2
44256AUCAYACU_N,495077,1,372040,18479416,24,0,7,1,495046,14,10,0,0,2
44256GUADALUPE_N,1471392,0,1105070,41033557,24,0,19,1,1471348,13,1,0,0,2
44256PARAGSHA_NVA,179143,405,900135,8908999,0,179535,8,5,0,7,7,3,108,2
44256PIURA2_N,3874055,0,2907816,112133301,24,0,29,1,3874001,50,46,0,0,2
44256ICA,162620,78,816015,12242537,0,162691,5,2,0,6,6,1,184,2
44256CHIMBOTENVA_N,735245,1,552678,20188867,24,0,28,5,735189,3,3,0,0,2
44256AGUAYTIA_N,455716,0,342640,94816013,24,0,3,1,455688,3,1,0,0,2
44256PARAMONGA_N,2451307,0,1840082,70322728,24,0,13,1,2451269,28,6,0,0,2
44258SANTUARIO,143934,1,750246,7474112,1440,142472,3,20,0,6,6,4,14,1
44258TRUJILLNUEV,145631,1372,744195,11410567,0,146994,9,0,0,4,4,0,0,2
44258LANINA_N,2614445,0,1962702,77530384,25,0,5,0,2614415,6,6,3,472,2
44258AUCAYACU_N,516261,0,387888,18723746,24,0,3,0,516234,8,8,0,0,2
44258PARAGSHA_NVA,181170,437,910550,8952508,0,181588,11,8,0,2,2,4,53,2
44258HUANUCO_N,1398612,0,1050108,38101830,24,0,3,0,1398585,3,1,1,6,1
44258PIURA2_N,4001546,0,3003268,118028969,24,0,28,0,4001494,36,31,0,0,2
44258CHIMBOTENVA_N,696810,0,523444,19107117,24,0,7,0,696779,5,3,0,0,2
44258REQUE,1845298,0,1384848,57298101,24,0,3,0,1845271,4,1,0,0,2
44258CHAVARRIA_N,884900,16,665316,24981917,24,0,39,0,884853,9,2,0,0,2
44258PARAMONGA_N,2361859,0,1773088,67331715,24,0,25,0,2361810,8,6,0,0,2
44260SOCABAYA_N,1938207,0,1454910,62575992,24,0,20,1,1938162,6,4,0,0,2
44260TRUJILLNUEV,149517,1349,763330,10598614,0,150856,3,7,0,5,5,0,0,2
44260LANINA_N,2551493,0,1915500,75377836,24,0,8,1,2551460,3,3,0,0,2
44260MARCONA,5709308,0,4283144,214573761,24,0,4,1,5709279,2,4,0,0,2
44260PARAGSHA_NVA,184136,380,924935,8994120,0,184506,8,2,0,1,1,3,54,2
44260HUANUCO_N,1328509,0,997618,36105438,24,0,6,1,1328478,3,1,3,30,1
44260PIURA2_N,3619023,0,2717258,105479903,24,0,37,16,3618946,16,15,3,97,1
44260MOQUEGUA_N,32535,0,24820,1822398,20,0,10,109,32396,24,7,2,112,1
44260ICA,180578,61,904660,9425879,0,180634,3,2,0,6,6,0,0,2
44260CARAPONGO,636619,0,478110,26360768,24,0,20,1,636574,21,5,0,0,2
44260CHIMBOTENVA_N,649612,0,488122,17794970,24,0,9,1,649578,8,6,0,0,2
44260INDEPE_N,599769,0,449914,25320228,0,0,3,1,599765,19,3,4,1952,2
44260ABANCAY,1671142,3,1254578,46497573,24,0,9,2,1671110,2,1,0,0,2
44260CHAVARRIA_N,926905,0,696392,26335348,24,0,7,1,926873,43,16,0,0,2
